date,route,origin,destination,expected_packages,weight_kg
2026-02-01,LAX-JFK,Los Angeles,New York,4200,15120
2026-02-01,ORD-MIA,Chicago,Miami,2800,10080
2026-02-01,SEA-DFW,Seattle,Dallas,1900,6840
2026-02-01,DEN-ATL,Denver,Atlanta,2100,7560
2026-02-02,LAX-JFK,Los Angeles,New York,4350,15660
2026-02-02,ORD-MIA,Chicago,Miami,2900,10440
2026-02-02,SEA-DFW,Seattle,Dallas,1950,7020
2026-02-02,DEN-ATL,Denver,Atlanta,2150,7740
2026-02-03,LAX-JFK,Los Angeles,New York,4500,16200
2026-02-03,ORD-MIA,Chicago,Miami,3000,10800
2026-02-03,SEA-DFW,Seattle,Dallas,2000,7200
2026-02-03,DEN-ATL,Denver,Atlanta,2200,7920
2026-02-04,LAX-JFK,Los Angeles,New York,4400,15840
2026-02-04,ORD-MIA,Chicago,Miami,2950,10620
2026-02-04,SEA-DFW,Seattle,Dallas,1980,7128
2026-02-04,DEN-ATL,Denver,Atlanta,2180,7848
2026-02-05,LAX-JFK,Los Angeles,New York,4300,15480
2026-02-05,ORD-MIA,Chicago,Miami,2850,10260
2026-02-05,SEA-DFW,Seattle,Dallas,1920,6912
2026-02-05,DEN-ATL,Denver,Atlanta,2120,7632
2026-02-06,LAX-JFK,Los Angeles,New York,3800,13680
2026-02-06,ORD-MIA,Chicago,Miami,2500,9000
2026-02-06,SEA-DFW,Seattle,Dallas,1700,6120
2026-02-06,DEN-ATL,Denver,Atlanta,1850,6660
2026-02-07,LAX-JFK,Los Angeles,New York,3600,12960
2026-02-07,ORD-MIA,Chicago,Miami,2400,8640
2026-02-07,SEA-DFW,Seattle,Dallas,1600,5760
2026-02-07,DEN-ATL,Denver,Atlanta,1750,6300
2026-02-08,LAX-JFK,Los Angeles,New York,4250,15300
2026-02-08,ORD-MIA,Chicago,Miami,2850,10260
2026-02-08,SEA-DFW,Seattle,Dallas,1950,7020
2026-02-08,DEN-ATL,Denver,Atlanta,2100,7560
2026-02-09,LAX-JFK,Los Angeles,New York,4400,15840
2026-02-09,ORD-MIA,Chicago,Miami,2950,10620
2026-02-09,SEA-DFW,Seattle,Dallas,2000,7200
2026-02-09,DEN-ATL,Denver,Atlanta,2200,7920
2026-02-10,LAX-JFK,Los Angeles,New York,4550,16380
2026-02-10,ORD-MIA,Chicago,Miami,3050,10980
2026-02-10,SEA-DFW,Seattle,Dallas,2080,7488
2026-02-10,DEN-ATL,Denver,Atlanta,2280,8208
2026-02-11,LAX-JFK,Los Angeles,New York,5200,18720
2026-02-11,ORD-MIA,Chicago,Miami,3500,12600
2026-02-11,SEA-DFW,Seattle,Dallas,2400,8640
2026-02-11,DEN-ATL,Denver,Atlanta,2600,9360
2026-02-12,LAX-JFK,Los Angeles,New York,6100,21960
2026-02-12,ORD-MIA,Chicago,Miami,4100,14760
2026-02-12,SEA-DFW,Seattle,Dallas,2800,10080
2026-02-12,DEN-ATL,Denver,Atlanta,3000,10800
2026-02-13,LAX-JFK,Los Angeles,New York,6800,24480
2026-02-13,ORD-MIA,Chicago,Miami,4500,16200
2026-02-13,SEA-DFW,Seattle,Dallas,3100,11160
2026-02-13,DEN-ATL,Denver,Atlanta,3300,11880
2026-02-14,LAX-JFK,Los Angeles,New York,5500,19800
2026-02-14,ORD-MIA,Chicago,Miami,3700,13320
2026-02-14,SEA-DFW,Seattle,Dallas,2500,9000
2026-02-14,DEN-ATL,Denver,Atlanta,2700,9720
2026-02-15,LAX-JFK,Los Angeles,New York,3900,14040
2026-02-15,ORD-MIA,Chicago,Miami,2600,9360
2026-02-15,SEA-DFW,Seattle,Dallas,1750,6300
2026-02-15,DEN-ATL,Denver,Atlanta,1900,6840
2026-02-16,LAX-JFK,Los Angeles,New York,3500,12600
2026-02-16,ORD-MIA,Chicago,Miami,2300,8280
2026-02-16,SEA-DFW,Seattle,Dallas,1550,5580
2026-02-16,DEN-ATL,Denver,Atlanta,1700,6120
2026-02-17,LAX-JFK,Los Angeles,New York,4300,15480
2026-02-17,ORD-MIA,Chicago,Miami,2900,10440
2026-02-17,SEA-DFW,Seattle,Dallas,1980,7128
2026-02-17,DEN-ATL,Denver,Atlanta,2150,7740
2026-02-18,LAX-JFK,Los Angeles,New York,4400,15840
2026-02-18,ORD-MIA,Chicago,Miami,2950,10620
2026-02-18,SEA-DFW,Seattle,Dallas,2000,7200
2026-02-18,DEN-ATL,Denver,Atlanta,2200,7920
2026-02-19,LAX-JFK,Los Angeles,New York,4500,16200
2026-02-19,ORD-MIA,Chicago,Miami,3000,10800
2026-02-19,SEA-DFW,Seattle,Dallas,2050,7380
2026-02-19,DEN-ATL,Denver,Atlanta,2250,8100
2026-02-20,LAX-JFK,Los Angeles,New York,4450,16020
2026-02-20,ORD-MIA,Chicago,Miami,2980,10728
2026-02-20,SEA-DFW,Seattle,Dallas,2020,7272
2026-02-20,DEN-ATL,Denver,Atlanta,2220,7992
2026-02-21,LAX-JFK,Los Angeles,New York,3850,13860
2026-02-21,ORD-MIA,Chicago,Miami,2550,9180
2026-02-21,SEA-DFW,Seattle,Dallas,1720,6192
2026-02-21,DEN-ATL,Denver,Atlanta,1880,6768
2026-02-22,LAX-JFK,Los Angeles,New York,3650,13140
2026-02-22,ORD-MIA,Chicago,Miami,2420,8712
2026-02-22,SEA-DFW,Seattle,Dallas,1620,5832
2026-02-22,DEN-ATL,Denver,Atlanta,1780,6408
2026-02-23,LAX-JFK,Los Angeles,New York,4550,16380
2026-02-23,ORD-MIA,Chicago,Miami,3050,10980
2026-02-23,SEA-DFW,Seattle,Dallas,2080,7488
2026-02-23,DEN-ATL,Denver,Atlanta,2280,8208
2026-02-24,LAX-JFK,Los Angeles,New York,4650,16740
2026-02-24,ORD-MIA,Chicago,Miami,3100,11160
